lganame,wardname,ndvi_annual,ndvi_annual_pixels
Bomadi,Akugbene 1,,0
Bomadi,Akugbene 2,,0
Bomadi,Akugbene 3,,0
Bomadi,Bomadi,,0
Bomadi,Ekaametagbene/Kalafio,,0
Bomadi,Esanma,,0
Bomadi,Kpakiama,,0
Bomadi,Ogbeinma/Okoloba,,0
Bomadi,Ogo/Eze,,0
Bomadi,Ogriagbene,,0
Burutu,Bolou-Ndoro,,0
Burutu,Egodor,0.49059022929333995,221
Burutu,Eseinbiri,,0
Burutu,Kiagbodo,,0
Burutu,Ngbilebiri,,0
Burutu,Obetebe,,0
Burutu,Ogulagha,-0.22119719980245447,3761
Burutu,Ojobo,,0
Burutu,Tamigbe,,0
Burutu,Torugbene,,0
Burutu,Tuomo,,0
Patani,Abari,,0
Patani,Agoloma,,0
Patani,Buluangiama,,0
Patani,Odorubu,,0
Patani,Patani 2,,0
Patani,Patani 3,,0
Patani,Patani 4,,0
Patani,Patani 5,,0
Patani,Toruangiama,,0
Patani,Uduophori,,0
Warri South-West,Ajudaibo,-0.18485660364132117,202
Warri South-West,Akpakpa,-0.1775243539349297,269
Warri South-West,Isaba,0.5001379625780935,2481
Warri South-West,Madangho,-0.18363322967138046,78
Warri South-West,Ogbe-Ijoh,0.5168187083523361,9867
Warri South-West,Ogidigben,-0.16287349168907642,1011
Warri South-West,Okerenkoko,0.21144526357577384,11178
Warri South-West,Oporozo,-0.2772103252108135,3150
Warri South-West,Orere,-0.2505195247723439,1093
Warri South-West,Ugborodo,-0.1767871932184044,859
Warri South,Avenue,0.6022781120551811,182
Warri South,Bowen,0.6430069708055065,31
Warri South,Ekurede,0.554306148558624,258
Warri South,Esisi,0.5990583069470464,49
Warri South,Igbudu,0.5788116455078125,108
Warri South,Obodo,0.5310099408288736,4905
Warri South,Ode-Itsekiri,0.5551763763002698,1436
Warri South,Okere,0.6070097303882087,97
Warri South,Pessu,0.5780640632875504,155
Warri South,Ubeji,0.581257144387385,1249
