lganame,wardname,year,month,ndvi_monthly,ndvi_pixels
Bomadi,Akugbene 1,2025,5,,0
Bomadi,Akugbene 2,2025,5,,0
Bomadi,Akugbene 3,2025,5,,0
Bomadi,Bomadi,2025,5,,0
Bomadi,Ekaametagbene/Kalafio,2025,5,,0
Bomadi,Esanma,2025,5,,0
Bomadi,Kpakiama,2025,5,,0
Bomadi,Ogbeinma/Okoloba,2025,5,,0
Bomadi,Ogo/Eze,2025,5,,0
Bomadi,Ogriagbene,2025,5,,0
Burutu,Bolou-Ndoro,2025,5,,0
Burutu,Egodor,2025,5,0.6793340979916898,9025
Burutu,Eseinbiri,2025,5,,0
Burutu,Kiagbodo,2025,5,,0
Burutu,Ngbilebiri,2025,5,0.665813711335619,417
Burutu,Obetebe,2025,5,0.6608320352288642,3927
Burutu,Ogulagha,2025,5,0.09558937665654647,19289
Burutu,Ojobo,2025,5,,0
Burutu,Tamigbe,2025,5,,0
Burutu,Torugbene,2025,5,,0
Burutu,Tuomo,2025,5,,0
Patani,Abari,2025,5,,0
Patani,Agoloma,2025,5,,0
Patani,Buluangiama,2025,5,,0
Patani,Odorubu,2025,5,,0
Patani,Patani 2,2025,5,,0
Patani,Patani 3,2025,5,,0
Patani,Patani 4,2025,5,,0
Patani,Patani 5,2025,5,,0
Patani,Toruangiama,2025,5,,0
Patani,Uduophori,2025,5,,0
Warri South-West,Ajudaibo,2025,5,-0.12328900172057765,716
Warri South-West,Akpakpa,2025,5,-0.07492379862893077,956
Warri South-West,Isaba,2025,5,0.6847759901031606,9318
Warri South-West,Madangho,2025,5,-0.1250707163955226,264
Warri South-West,Ogbe-Ijoh,2025,5,0.5994173921475845,38832
Warri South-West,Ogidigben,2025,5,-0.034447316461479756,3890
Warri South-West,Okerenkoko,2025,5,0.4004937798434205,41257
Warri South-West,Oporozo,2025,5,-0.19706072746266004,11951
Warri South-West,Orere,2025,5,-0.09941812667211652,4205
Warri South-West,Ugborodo,2025,5,-0.08950943706537928,3294
Warri South,Avenue,2025,5,0.7106849224458185,633
Warri South,Bowen,2025,5,0.715658768363621,92
Warri South,Ekurede,2025,5,0.7017512919739907,805
Warri South,Esisi,2025,5,0.6980768309699165,144
Warri South,Igbudu,2025,5,0.4321188765965151,356
Warri South,Obodo,2025,5,0.6276726524056861,18290
Warri South,Ode-Itsekiri,2025,5,0.6812520945596199,4709
Warri South,Okere,2025,5,0.5438390713985836,321
Warri South,Pessu,2025,5,0.5356003924113948,410
Warri South,Ubeji,2025,5,0.5887170347750889,4499
Bomadi,Akugbene 1,2025,6,,0
Bomadi,Akugbene 2,2025,6,,0
Bomadi,Akugbene 3,2025,6,,0
Bomadi,Bomadi,2025,6,,0
Bomadi,Ekaametagbene/Kalafio,2025,6,,0
Bomadi,Esanma,2025,6,,0
Bomadi,Kpakiama,2025,6,,0
Bomadi,Ogbeinma/Okoloba,2025,6,,0
Bomadi,Ogo/Eze,2025,6,,0
Bomadi,Ogriagbene,2025,6,,0
Burutu,Bolou-Ndoro,2025,6,,0
Burutu,Egodor,2025,6,0.6150494219628985,3733
Burutu,Eseinbiri,2025,6,,0
Burutu,Kiagbodo,2025,6,,0
