lganame,wardname,year,month,no2_mean_mol_m2,no2_valid_pixels
Bomadi,Akugbene 1,2018,10,2.2305588572635315e-05,4
Bomadi,Akugbene 2,2018,10,2.306954047526233e-05,1
Bomadi,Akugbene 3,2018,10,2.29932957154233e-05,2
Bomadi,Bomadi,2018,10,2.4875577461595338e-05,6
Bomadi,Ekaametagbene/Kalafio,2018,10,2.4446853785775602e-05,20
Bomadi,Esanma,2018,10,2.2589621949009597e-05,8
Bomadi,Kpakiama,2018,10,2.4487277389400537e-05,9
Bomadi,Ogbeinma/Okoloba,2018,10,1.996945987533157e-05,6
Bomadi,Ogo/Eze,2018,10,2.0198676793370396e-05,6
Bomadi,Ogriagbene,2018,10,1.953261235030368e-05,10
Burutu,Bolou-Ndoro,2018,10,2.068285192806451e-05,42
Burutu,Egodor,2018,10,2.351093330773814e-05,29
Burutu,Eseinbiri,2018,10,1.9231909391237423e-05,16
Burutu,Kiagbodo,2018,10,2.0017300266772507e-05,5
Burutu,Ngbilebiri,2018,10,2.9567238622500252e-05,6
Burutu,Obetebe,2018,10,2.2302079014480113e-05,50
Burutu,Ogulagha,2018,10,1.983840642920272e-05,44
Burutu,Ojobo,2018,10,1.7700882744975387e-05,5
Burutu,Tamigbe,2018,10,1.77038018591702e-05,11
Burutu,Torugbene,2018,10,1.8678849301068112e-05,8
Burutu,Tuomo,2018,10,2.11992972673705e-05,13
Patani,Abari,2018,10,2.3702805629000066e-05,5
Patani,Agoloma,2018,10,2.092492359224707e-05,5
Patani,Buluangiama,2018,10,2.0883652420404058e-05,12
Patani,Odorubu,2018,10,2.1342531129318688e-05,14
Patani,Patani 2,2018,10,2.153559277455012e-05,6
Patani,Patani 3,2018,10,2.1503806055989117e-05,5
Patani,Patani 4,2018,10,1.8882888980442658e-05,4
Patani,Patani 5,2018,10,2.157074257931007e-05,7
Patani,Toruangiama,2018,10,1.9673553470056505e-05,5
Patani,Uduophori,2018,10,1.9028433598577976e-05,8
Warri South-West,Ajudaibo,2018,10,1.8056756744044833e-05,4
Warri South-West,Akpakpa,2018,10,1.799872552510351e-05,5
Warri South-West,Isaba,2018,10,2.2619665833190085e-05,20
Warri South-West,Madangho,2018,10,1.8246506442665122e-05,2
Warri South-West,Ogbe-Ijoh,2018,10,2.2950677628644178e-05,61
Warri South-West,Ogidigben,2018,10,1.8566612197901122e-05,8
Warri South-West,Okerenkoko,2018,10,1.959544132952973e-05,59
Warri South-West,Oporozo,2018,10,1.9567310422038037e-05,24
Warri South-West,Orere,2018,10,2.030729956459254e-05,9
Warri South-West,Ugborodo,2018,10,1.8812794587574898e-05,5
Warri South,Avenue,2018,10,3.33111296640709e-05,5
Warri South,Bowen,2018,10,3.3507501939311624e-05,4
Warri South,Ekurede,2018,10,2.9879907378926875e-05,5
Warri South,Esisi,2018,10,3.618230402935296e-05,2
Warri South,Igbudu,2018,10,3.510491660563275e-05,2
Warri South,Obodo,2018,10,2.0827947082580067e-05,32
Warri South,Ode-Itsekiri,2018,10,2.6391258209266446e-05,11
Warri South,Okere,2018,10,3.438658798889568e-05,3
Warri South,Pessu,2018,10,3.083269621129148e-05,2
Warri South,Ubeji,2018,10,2.5195633777632163e-05,13
Bomadi,Akugbene 1,2018,11,1.8562668628874235e-05,4
Bomadi,Akugbene 2,2018,11,1.8522567188483663e-05,1
Bomadi,Akugbene 3,2018,11,1.7916261640493758e-05,2
Bomadi,Bomadi,2018,11,1.9802852572562795e-05,6
Bomadi,Ekaametagbene/Kalafio,2018,11,2.0886390120722354e-05,20
Bomadi,Esanma,2018,11,1.95088105101604e-05,8
Bomadi,Kpakiama,2018,11,2.0152142193789285e-05,9
Bomadi,Ogbeinma/Okoloba,2018,11,1.914195915257248e-05,6
Bomadi,Ogo/Eze,2018,11,2.050078910542652e-05,6
Bomadi,Ogriagbene,2018,11,1.771531533449888e-05,10
Burutu,Bolou-Ndoro,2018,11,2.046101144514978e-05,42
Burutu,Egodor,2018,11,2.3913714263973565e-05,29
Burutu,Eseinbiri,2018,11,1.9666331354528666e-05,16
Burutu,Kiagbodo,2018,11,2.317777252756059e-05,5
Burutu,Ngbilebiri,2018,11,2.158807183150202e-05,6
Burutu,Obetebe,2018,11,2.3885504342615606e-05,50
Burutu,Ogulagha,2018,11,1.9684379698115993e-05,44
Burutu,Ojobo,2018,11,1.8216042371932416e-05,5
Burutu,Tamigbe,2018,11,1.814729264217683e-05,11
Burutu,Torugbene,2018,11,1.7823931557359174e-05,8
Burutu,Tuomo,2018,11,1.804788413350112e-05,13
Patani,Abari,2018,11,2.5126966647803783e-05,5
Patani,Agoloma,2018,11,2.5108395493589342e-05,5
Patani,Buluangiama,2018,11,2.4847691141379375e-05,12
Patani,Odorubu,2018,11,2.0654674569543984e-05,14
Patani,Patani 2,2018,11,2.3257261394367863e-05,6
Patani,Patani 3,2018,11,2.3310913820751012e-05,5
Patani,Patani 4,2018,11,2.3763403078191914e-05,4
Patani,Patani 5,2018,11,2.6141156143109712e-05,7
Patani,Toruangiama,2018,11,2.3224014148581774e-05,5
Patani,Uduophori,2018,11,2.10658890864579e-05,8
Warri South-West,Ajudaibo,2018,11,1.996573519136291e-05,4
Warri South-West,Akpakpa,2018,11,1.964197581401095e-05,5
Warri South-West,Isaba,2018,11,3.023453173227608e-05,20
Warri South-West,Madangho,2018,11,1.969508593901992e-05,2
Warri South-West,Ogbe-Ijoh,2018,11,2.5786718994867607e-05,61
Warri South-West,Ogidigben,2018,11,1.822893500502687e-05,8
Warri South-West,Okerenkoko,2018,11,2.2096841564496695e-05,59
Warri South-West,Oporozo,2018,11,2.050966819903503e-05,24
Warri South-West,Orere,2018,11,2.0338473000770642e-05,9
Warri South-West,Ugborodo,2018,11,2.0121542911510913e-05,5
Warri South,Avenue,2018,11,4.144278063904494e-05,5
Warri South,Bowen,2018,11,4.465001984499395e-05,4
Warri South,Ekurede,2018,11,3.9076260873116556e-05,5
Warri South,Esisi,2018,11,4.74675434816163e-05,2
Warri South,Igbudu,2018,11,4.5936300011817366e-05,2
Warri South,Obodo,2018,11,2.444363053655252e-05,32
Warri South,Ode-Itsekiri,2018,11,3.371441429904239e-05,11
Warri South,Okere,2018,11,4.475040865751604e-05,3
Warri South,Pessu,2018,11,4.18324998463504e-05,2
Warri South,Ubeji,2018,11,3.0693463766230984e-05,13
Bomadi,Akugbene 1,2018,12,3.071074024774134e-05,4
Bomadi,Akugbene 2,2018,12,3.0248300390667282e-05,1
Bomadi,Akugbene 3,2018,12,2.8836542696808465e-05,2
Bomadi,Bomadi,2018,12,3.0447183235082775e-05,6
Bomadi,Ekaametagbene/Kalafio,2018,12,3.0265346867963672e-05,20
Bomadi,Esanma,2018,12,2.8927839593961835e-05,8
Bomadi,Kpakiama,2018,12,3.287586474066807e-05,9
Bomadi,Ogbeinma/Okoloba,2018,12,3.189447549326966e-05,6
Bomadi,Ogo/Eze,2018,12,3.567644065090766e-05,6
Bomadi,Ogriagbene,2018,12,2.996648836415261e-05,10
Burutu,Bolou-Ndoro,2018,12,2.9685979132496176e-05,42
Burutu,Egodor,2018,12,3.695884992464863e-05,29
Burutu,Eseinbiri,2018,12,2.9650072974618524e-05,16
Burutu,Kiagbodo,2018,12,3.787957248277962e-05,5
Burutu,Ngbilebiri,2018,12,4.010448659149309e-05,6
Burutu,Obetebe,2018,12,3.170748706907034e-05,50
Burutu,Ogulagha,2018,12,2.9679776740853082e-05,44
Burutu,Ojobo,2018,12,2.967800246551633e-05,5
