lganame,wardname,pop_total,pop_under5,pixel_count
Aniocha North,Ezi,10186,1589,70
Aniocha North,Idumuje-Unor,17324,2703,47
Aniocha North,Issele-Mkpitime,26739,4171,57
Aniocha North,Issele-Uku 1,22487,3508,27
Aniocha North,Issele-Uku 2,23003,3588,22
Aniocha North,Obior/Onicha-Uku,11647,1817,26
Aniocha North,Obomkpa,5006,781,33
Aniocha North,Onicha-Olona,15242,2378,24
Aniocha North,Onicha-Ugbo,24560,3831,29
Aniocha North,Ugbodu,7989,1246,45
Aniocha South,Adonte,6549,1022,72
Aniocha South,Agiadiasi,39179,6112,39
Aniocha South,Ejeme/Egbudu,7897,1232,54
Aniocha South,Ewulu/Isheagu,9491,1481,71
Aniocha South,Nsukwa,6182,964,66
Aniocha South,Otulu,25177,3928,148
Aniocha South,Ubulu-Okiti,11561,1804,39
Aniocha South,Ubulu-Uku 1,13954,2177,13
Aniocha South,Ubulu-Uku 2,19303,3011,46
Aniocha South,Ubulu-Unor,9230,1440,75
Aniocha South,Umudei,33997,5304,40
Bomadi,Akugbene 1,1848,288,13
Bomadi,Akugbene 2,0,0,0
Bomadi,Akugbene 3,3533,551,3
Bomadi,Bomadi,37392,5833,29
Bomadi,Ekaametagbene/Kalafio,3299,515,98
Bomadi,Esanma,5029,785,26
Bomadi,Kpakiama,18353,2863,48
Bomadi,Ogbeinma/Okoloba,3677,574,10
Bomadi,Ogo/Eze,3569,557,12
Bomadi,Ogriagbene,3127,488,35
Burutu,Bolou-Ndoro,8587,1340,218
Burutu,Egodor,11283,1760,85
Burutu,Eseinbiri,16667,2600,94
Burutu,Kiagbodo,15754,2458,16
Burutu,Ngbilebiri,3090,482,17
Burutu,Obetebe,8856,1382,157
Burutu,Ogulagha,31889,4975,224
Burutu,Ojobo,11105,1732,35
Burutu,Tamigbe,9662,1507,53
Burutu,Torugbene,4619,721,30
Burutu,Tuomo,15353,2395,82
Ethiope East,Abraka,84932,13249,24
Ethiope East,Egbo,8134,1269,31
Ethiope East,Eku,47769,7452,34
Ethiope East,Igun,20147,3143,40
Ethiope East,Isiokolo,14019,2187,24
Ethiope East,Kokori,37972,5924,42
Ethiope East,Okpara,42879,6689,70
Ethiope East,Orhaorpo,10215,1594,16
Ethiope East,Oria,20446,3190,38
Ethiope East,Ovu,42391,6613,65
Ethiope East,Urhuovie,35624,5557,31
Ethiope West,Jesse 1,62210,9705,59
Ethiope West,Jesse 2,11761,1835,53
Ethiope West,Jesse 3,6449,1006,40
Ethiope West,Jesse 4,6274,979,33
Ethiope West,Mosogar 1,41000,6396,28
Ethiope West,Mosogar 2,9180,1432,50
Ethiope West,Ogharefe 1,49484,7720,48
Ethiope West,Ogharefe 2,71768,11196,20
Ethiope West,Ogharefe 3,17338,2705,37
Ethiope West,Oghareki 1,33450,5218,10
Ethiope West,Oghareki 2,16161,2521,61
Ika North East,Akumazi,34384,5364,28
Ika North East,Boji-Boji Owa 1,15334,2392,3
Ika North East,Boji-Boji Owa 2,10391,1621,2
Ika North East,Idumuesah,17481,2727,34
Ika North East,Igbodo,23843,3720,32
Ika North East,Mbiri,9179,1432,39
Ika North East,Otolokpo,8458,1319,14
Ika North East,Owa-Alero,22081,3445,15
Ika North East,Owa-Alizomor,18655,2910,26
Ika North East,Owa-Oyibu,14821,2312,19
Ika North East,Owanta,37970,5923,16
Ika North East,Umunede,49678,7750,23
Ika North East,Ute-Ogbeje,8246,1286,25
Ika North East,Ute-Okpu,30257,4720,66
Ika South,Abavo Central,11378,1775,12
Ika South,Agbor-Nta,20756,3238,33
Ika South,Boji-Boji Agbor 7,25889,4039,20
Ika South,Agbor Obi,12991,2027,8
Ika South,Alihagwu,6689,1043,26
Ika South,Ekuku Agbor,12811,1999,34
Ika South,Emuhu,28392,4429,27
Ika South,Oyoko,12942,2019,43
Ika South,Ozanogogo,10466,1633,50
Ika South,Udomi-Azuowa,11493,1793,35
Isoko North,Ellu,26912,4198,44
Isoko North,Emevor,26807,4182,48
Isoko North,Iyede 1,18707,2918,44
Isoko North,Iyede 2,14330,2235,24
Isoko North,Ofagbe,15666,2444,27
Isoko North,Okpe-Isoko,8631,1346,19
Isoko North,Owhe 1,24231,3780,28
