lganame,wardname,year,month,no2_mol_m2,no2_valid_pixels,no2_umol_m2,rainfall_mm,rainfall_valid_pixels,t2m_mean,t2m_max,t2m_min,ts_mean,temp_n_days,flare_n_sites,flare_total_bcm_13yr,flare_max_site_bcm,flare_last_year_bcm,flare_operators,fac_total,fac_phc,fac_secondary,fac_tertiary,fac_public,fac_private,pop_total,pop_under5,ndvi_annual,ym
Bomadi,Akugbene 1,2015,1,,,,24.147891998291016,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-01
Bomadi,Akugbene 1,2015,2,,,,77.81512451171875,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-02
Bomadi,Akugbene 1,2015,3,,,,162.0015869140625,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-03
Bomadi,Akugbene 1,2015,4,,,,141.5833282470703,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-04
Bomadi,Akugbene 1,2015,5,,,,279.9830322265625,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-05
Bomadi,Akugbene 1,2015,6,,,,194.8949279785156,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-06
Bomadi,Akugbene 1,2015,7,,,,239.5404510498047,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-07
Bomadi,Akugbene 1,2015,8,,,,279.73345947265625,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-08
Bomadi,Akugbene 1,2015,9,,,,456.991455078125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-09
Bomadi,Akugbene 1,2015,10,,,,346.8133544921875,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-10
Bomadi,Akugbene 1,2015,11,,,,119.19007110595705,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-11
Bomadi,Akugbene 1,2015,12,,,,13.24387264251709,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2015-12
Bomadi,Akugbene 1,2016,1,,,,14.33407974243164,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-01
Bomadi,Akugbene 1,2016,2,,,,12.307875633239746,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-02
Bomadi,Akugbene 1,2016,3,,,,177.1278076171875,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-03
Bomadi,Akugbene 1,2016,4,,,,164.6311492919922,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-04
Bomadi,Akugbene 1,2016,5,,,,250.9593048095703,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-05
Bomadi,Akugbene 1,2016,6,,,,336.5743713378906,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-06
Bomadi,Akugbene 1,2016,7,,,,463.2264709472656,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-07
Bomadi,Akugbene 1,2016,8,,,,332.06353759765625,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-08
Bomadi,Akugbene 1,2016,9,,,,516.1712036132812,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-09
Bomadi,Akugbene 1,2016,10,,,,331.08477783203125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-10
Bomadi,Akugbene 1,2016,11,,,,105.74554443359376,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-11
Bomadi,Akugbene 1,2016,12,,,,29.117902755737305,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2016-12
Bomadi,Akugbene 1,2017,1,,,,18.508913040161133,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-01
Bomadi,Akugbene 1,2017,2,,,,18.78660774230957,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-02
Bomadi,Akugbene 1,2017,3,,,,105.8721160888672,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-03
Bomadi,Akugbene 1,2017,4,,,,141.46438598632812,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-04
Bomadi,Akugbene 1,2017,5,,,,262.54364013671875,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-05
Bomadi,Akugbene 1,2017,6,,,,627.8076171875,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-06
Bomadi,Akugbene 1,2017,7,,,,486.73046875,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-07
Bomadi,Akugbene 1,2017,8,,,,292.31182861328125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-08
Bomadi,Akugbene 1,2017,9,,,,336.74591064453125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-09
Bomadi,Akugbene 1,2017,10,,,,274.89630126953125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-10
Bomadi,Akugbene 1,2017,11,,,,140.30662536621094,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-11
Bomadi,Akugbene 1,2017,12,,,,32.6916389465332,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2017-12
Bomadi,Akugbene 1,2018,1,,,,15.303840637207031,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-01
Bomadi,Akugbene 1,2018,2,,,,169.58056640625,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-02
Bomadi,Akugbene 1,2018,3,,,,168.83676147460938,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-03
Bomadi,Akugbene 1,2018,4,,,,181.8238525390625,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-04
Bomadi,Akugbene 1,2018,5,,,,211.86013793945312,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-05
Bomadi,Akugbene 1,2018,6,,,,393.90625,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-06
Bomadi,Akugbene 1,2018,7,,,,516.193603515625,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-07
Bomadi,Akugbene 1,2018,8,,,,463.1954650878906,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-08
Bomadi,Akugbene 1,2018,9,,,,554.2572021484375,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-09
Bomadi,Akugbene 1,2018,10,2.2305588572635315e-05,4.0,22.305588572635315,369.5411376953125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-10
Bomadi,Akugbene 1,2018,11,1.8562668628874235e-05,4.0,18.562668628874235,177.70201110839844,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-11
Bomadi,Akugbene 1,2018,12,3.071074024774134e-05,4.0,30.71074024774134,25.662885665893555,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2018-12
Bomadi,Akugbene 1,2019,1,3.415633545955643e-05,4.0,34.15633545955643,102.05880737304688,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-01
Bomadi,Akugbene 1,2019,2,2.5859857487375848e-05,4.0,25.859857487375848,115.43792724609376,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-02
Bomadi,Akugbene 1,2019,3,2.269046672154218e-05,4.0,22.69046672154218,134.16990661621094,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-03
Bomadi,Akugbene 1,2019,4,1.4727939742442686e-05,4.0,14.727939742442686,168.650146484375,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-04
Bomadi,Akugbene 1,2019,5,1.4202199963619933e-05,4.0,14.202199963619933,290.72100830078125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-05
Bomadi,Akugbene 1,2019,6,1.4341025234898552e-05,4.0,14.341025234898552,339.3639831542969,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-06
Bomadi,Akugbene 1,2019,7,1.5692257875343785e-05,4.0,15.692257875343785,619.8182983398438,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-07
Bomadi,Akugbene 1,2019,8,1.159192561317468e-05,4.0,11.59192561317468,284.21319580078125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-08
Bomadi,Akugbene 1,2019,9,1.3189041965233628e-05,4.0,13.189041965233628,602.923828125,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-09
Bomadi,Akugbene 1,2019,10,1.249906563316472e-05,4.0,12.49906563316472,471.087890625,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-10
Bomadi,Akugbene 1,2019,11,1.900708957691677e-05,4.0,19.00708957691677,226.4571075439453,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-11
Bomadi,Akugbene 1,2019,12,3.0478675398626365e-05,4.0,30.478675398626365,80.83403015136719,2,,,,,,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2019-12
Bomadi,Akugbene 1,2020,1,3.357827881700359e-05,4.0,33.57827881700359,4.9719438552856445,2,25.04,32.97,15.08,24.53,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-01
Bomadi,Akugbene 1,2020,2,2.387791028013453e-05,4.0,23.87791028013453,13.54708194732666,2,26.92,33.72,17.99,26.66,29.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2020-02
