lganame,wardname,year,month,rain_mm,valid_pixels
Bomadi,Akugbene 1,2015,1,24.147891998291016,2
Bomadi,Akugbene 2,2015,1,24.792312622070312,1
Bomadi,Akugbene 3,2015,1,24.792312622070312,1
Bomadi,Bomadi,2015,1,25.980112711588543,6
Bomadi,Ekaametagbene/Kalafio,2015,1,23.336619059244796,12
Bomadi,Esanma,2015,1,24.94459724426269,4
Bomadi,Kpakiama,2015,1,24.40020751953125,6
Bomadi,Ogbeinma/Okoloba,2015,1,23.70345052083333,3
Bomadi,Ogo/Eze,2015,1,20.967885971069336,2
Bomadi,Ogriagbene,2015,1,26.29369354248047,6
Burutu,Bolou-Ndoro,2015,1,24.714875594429348,23
Burutu,Egodor,2015,1,22.864430147058822,17
Burutu,Eseinbiri,2015,1,25.43739180131392,11
Burutu,Kiagbodo,2015,1,20.090354919433597,3
Burutu,Ngbilebiri,2015,1,23.95507303873698,6
Burutu,Obetebe,2015,1,20.353658741918103,29
Burutu,Ogulagha,2015,1,7.91791748046875,25
Burutu,Ojobo,2015,1,28.798695882161457,6
Burutu,Tamigbe,2015,1,28.63940938313802,6
Burutu,Torugbene,2015,1,29.66282145182292,6
Burutu,Tuomo,2015,1,28.874064127604168,9
Patani,Abari,2015,1,22.47978973388672,5
Patani,Agoloma,2015,1,25.53014628092448,3
Patani,Buluangiama,2015,1,27.45176887512207,8
Patani,Odorubu,2015,1,28.24795150756836,8
Patani,Patani 2,2015,1,22.840362548828125,4
Patani,Patani 3,2015,1,22.804758707682293,6
Patani,Patani 4,2015,1,23.860191345214844,2
Patani,Patani 5,2015,1,25.36718967982701,7
Patani,Toruangiama,2015,1,28.543558756510414,3
Patani,Uduophori,2015,1,29.70570373535156,5
Warri South-West,Ajudaibo,2015,1,1.3038631677627563,4
Warri South-West,Akpakpa,2015,1,0.8680811524391174,2
Warri South-West,Isaba,2015,1,20.78336181640625,15
Warri South-West,Madangho,2015,1,1.5852344830830891,3
Warri South-West,Ogbe-Ijoh,2015,1,16.515613132052952,36
Warri South-West,Ogidigben,2015,1,2.3207740783691406,4
Warri South-West,Okerenkoko,2015,1,7.3078562418619795,36
Warri South-West,Oporozo,2015,1,3.235035181045532,16
Warri South-West,Orere,2015,1,3.671245921741833,11
Warri South-West,Ugborodo,2015,1,3.17392520904541,10
Warri South,Avenue,2015,1,17.747177124023438,2
Warri South,Bowen,2015,1,17.537673950195312,2
Warri South,Ekurede,2015,1,17.072460174560547,4
Warri South,Esisi,2015,1,16.7972412109375,4
Warri South,Igbudu,2015,1,16.85598627726237,3
Warri South,Obodo,2015,1,14.176133155822754,16
Warri South,Ode-Itsekiri,2015,1,18.745486789279514,9
Warri South,Okere,2015,1,17.747177124023438,2
Warri South,Pessu,2015,1,17.537673950195312,2
Warri South,Ubeji,2015,1,15.63848658970424,7
Bomadi,Akugbene 1,2015,2,77.81512451171875,2
Bomadi,Akugbene 2,2015,2,78.24058532714844,1
Bomadi,Akugbene 3,2015,2,78.24058532714844,1
Bomadi,Bomadi,2015,2,80.37058512369792,6
Bomadi,Ekaametagbene/Kalafio,2015,2,72.8629862467448,12
Bomadi,Esanma,2015,2,76.81985473632812,4
Bomadi,Kpakiama,2015,2,80.61588541666667,6
Bomadi,Ogbeinma/Okoloba,2015,2,77.59127807617188,3
Bomadi,Ogo/Eze,2015,2,76.44766235351562,2
Bomadi,Ogriagbene,2015,2,74.2024434407552,6
Burutu,Bolou-Ndoro,2015,2,73.53551715353261,23
Burutu,Egodor,2015,2,75.70526482077206,17
Burutu,Eseinbiri,2015,2,75.0718106356534,11
Burutu,Kiagbodo,2015,2,76.28368123372395,3
Burutu,Ngbilebiri,2015,2,77.00145467122395,6
Burutu,Obetebe,2015,2,70.47209220096983,29
Burutu,Ogulagha,2015,2,42.1166455078125,25
Burutu,Ojobo,2015,2,70.14660135904948,6
Burutu,Tamigbe,2015,2,74.54294331868489,6
Burutu,Torugbene,2015,2,73.08954366048177,6
Burutu,Tuomo,2015,2,79.372314453125,9
Patani,Abari,2015,2,77.384423828125,5
Patani,Agoloma,2015,2,89.66569010416667,3
Patani,Buluangiama,2015,2,89.04718017578125,8
Patani,Odorubu,2015,2,89.10248565673828,8
Patani,Patani 2,2015,2,80.50335693359375,4
Patani,Patani 3,2015,2,80.41752115885417,6
Patani,Patani 4,2015,2,82.49200439453125,2
Patani,Patani 5,2015,2,84.20488630022321,7
Patani,Toruangiama,2015,2,92.5362548828125,3
Patani,Uduophori,2015,2,90.62803955078124,5
Warri South-West,Ajudaibo,2015,2,8.5483980178833,4
Warri South-West,Akpakpa,2015,2,5.894962310791016,2
Warri South-West,Isaba,2015,2,72.934814453125,15
Warri South-West,Madangho,2015,2,10.335081736246744,3
Warri South-West,Ogbe-Ijoh,2015,2,68.86315239800348,36
Warri South-West,Ogidigben,2015,2,18.92268180847168,4
Warri South-West,Okerenkoko,2015,2,45.27116224500868,36
Warri South-West,Oporozo,2015,2,21.7131462097168,16
Warri South-West,Orere,2015,2,46.2157676003196,11
Warri South-West,Ugborodo,2015,2,39.28823547363281,10
Warri South,Avenue,2015,2,72.155029296875,2
Warri South,Bowen,2015,2,69.38668060302734,2
Warri South,Ekurede,2015,2,70.72325897216797,4
Warri South,Esisi,2015,2,69.92080688476562,4
Warri South,Igbudu,2015,2,69.21490987141927,3
Warri South,Obodo,2015,2,66.16512298583984,16
Warri South,Ode-Itsekiri,2015,2,71.02978515625,9
Warri South,Okere,2015,2,72.155029296875,2
Warri South,Pessu,2015,2,69.38668060302734,2
Warri South,Ubeji,2015,2,70.86365618024554,7
Bomadi,Akugbene 1,2015,3,162.0015869140625,2
Bomadi,Akugbene 2,2015,3,158.6219024658203,1
Bomadi,Akugbene 3,2015,3,158.6219024658203,1
Bomadi,Bomadi,2015,3,167.5671590169271,6
Bomadi,Ekaametagbene/Kalafio,2015,3,170.70465087890625,12
Bomadi,Esanma,2015,3,165.5171356201172,4
Bomadi,Kpakiama,2015,3,161.91358439127603,6
Bomadi,Ogbeinma/Okoloba,2015,3,161.9659423828125,3
Bomadi,Ogo/Eze,2015,3,163.30487060546875,2
Bomadi,Ogriagbene,2015,3,177.30696614583334,6
Burutu,Bolou-Ndoro,2015,3,181.5860011888587,23
Burutu,Egodor,2015,3,171.19327320772058,17
Burutu,Eseinbiri,2015,3,170.15812544389203,11
Burutu,Kiagbodo,2015,3,153.0162353515625,3
Burutu,Ngbilebiri,2015,3,171.34395345052084,6
Burutu,Obetebe,2015,3,174.9855367726293,29
Burutu,Ogulagha,2015,3,125.409150390625,25
Burutu,Ojobo,2015,3,172.7024129231771,6
Burutu,Tamigbe,2015,3,177.91070556640625,6
Burutu,Torugbene,2015,3,178.822509765625,6
Burutu,Tuomo,2015,3,170.88731553819446,9
Patani,Abari,2015,3,133.4314208984375,5
Patani,Agoloma,2015,3,142.69364420572916,3
Patani,Buluangiama,2015,3,145.8570556640625,8
