node_id,channel,lganame,wardname,rank,score,pop_under5,no2_umol_m2_mean,fac_phc,fac_total,flare_total_bcm_13yr,stable_core,rationale
TR-01,PHC,Bomadi,Bomadi,8,0.477,5833,20.55971921303505,3,4,0.0,True,"Rank 8; 5,833 children under 5; 3 PHCs to host; stable across all weightings"
TR-02,PHC,Bomadi,Kpakiama,19,0.368,2863,20.04007056813053,3,4,0.0,True,Rank 19; 2863 u5; 3 PHCs to host; stable across all weightings
TR-03,PHC,Burutu,Ogulagha,13,0.4,4975,16.604720763603435,5,7,0.241696686,True,Rank 13; 4975 u5; flare exposure; 5 PHCs to host; stable across all weightings
TR-04,PHC,Burutu,Kiagbodo,18,0.37,2458,20.41720775499319,2,3,0.0,True,Rank 18; 2458 u5; 2 PHCs to host; stable across all weightings
TR-05,PHC,Patani,Patani 5,12,0.406,2240,22.23451732182487,1,1,0.0,True,Rank 12; 2240 u5; 1 PHCs to host; stable across all weightings
TR-06,PHC,Warri South,Ekurede,1,0.801,12247,28.98966954489879,11,12,0.0,True,"Rank 1 overall; 12,247 children under 5; high NO2 (29.0 umol/m^2); 11 PHCs to host; stable across all weightings"
TR-07,PHC,Warri South,Ubeji,2,0.655,10314,23.426907318935264,6,6,0.0,False,"Rank 2 overall; 10,314 children under 5; 6 PHCs to host"
TR-08,PHC,Warri South,Okere,3,0.645,9257,,10,13,0.0,True,"Rank 3 overall; 9,257 children under 5; 10 PHCs to host; stable across all weightings"
TR-09,PHC,Warri South-West,Ugborodo,6,0.51,1981,20.794467369948205,1,1,1.054009574,True,Rank 6; 1981 u5; heavy flare (1.05 BCM); 1 PHCs to host; stable across all weightings
TR-10,PHC,Warri South-West,Ogbe-Ijoh,7,0.488,2510,19.77577539946651,4,6,1.140323966,True,Rank 7; 2510 u5; heavy flare (1.14 BCM); 4 PHCs to host; stable across all weightings
TR-11,school,Bomadi,Akugbene 1,30,0.3,288,18.696546893200622,0,1,0.0,False,Rank 30; 288 u5; zero PHCs (equity)
TR-12,school,Bomadi,Esanma,38,0.261,785,17.70821333479944,1,1,0.0,False,Rank 38; 785 u5
TR-13,school,Burutu,Egodor,31,0.293,1760,20.40809946871984,5,5,0.0,False,Rank 31; 1760 u5
TR-14,school,Burutu,Eseinbiri,33,0.289,2600,16.798467925127625,4,4,0.0,False,Rank 33; 2600 u5
TR-15,school,Patani,Agoloma,16,0.374,1340,22.3490950853981,1,1,0.0,False,Rank 16; 1340 u5
TR-16,school,Patani,Uduophori,17,0.371,1730,21.261279850174716,1,1,0.0,False,Rank 17; 1730 u5
TR-17,school,Warri South,Igbudu,5,0.582,7774,,14,14,0.0,False,"Rank 5 overall; 7,774 children under 5"
TR-18,school,Warri South,Avenue,9,0.465,3738,,7,7,0.0,False,Rank 9; 3738 u5
TR-19,school,Warri South-West,Okerenkoko,14,0.392,1090,18.8336666991852,2,3,0.899942809,True,Rank 14; 1090 u5; heavy flare (0.90 BCM); stable across all weightings
TR-20,school,Warri South-West,Ogidigben,27,0.314,598,17.637347506630856,1,2,0.540161479,False,Rank 27; 598 u5; heavy flare (0.54 BCM)
TR-21,community,Bomadi,Akugbene 2,32,0.291,0,,0,0,0.0,True,Rank 32; zero pop captured (mangrove); zero PHCs (equity); stable across all weightings
TR-22,community,Burutu,Tuomo,28,0.304,2395,17.551369902927643,3,3,0.0,False,Rank 28; 2395 u5
TR-23,community,Patani,Patani 2,11,0.408,2064,,0,0,0.0,True,Rank 11; 2064 u5; zero PHCs (equity); stable across all weightings
TR-24,community,Warri South,Pessu,4,0.616,4862,30.333824194409925,4,4,0.0,True,Rank 4 overall; 4862 u5; high NO2 (30.3 umol/m^2); stable across all weightings
TR-25,community,Warri South-West,Akpakpa,29,0.303,102,,0,0,0.0,True,Rank 29; 102 u5; zero PHCs (equity); stable across all weightings
