lganame,wardname,no2_umol_m2_mean,no2_valid_pixels_total,rainfall_mm_mean,t2m_mean,flare_n_sites,flare_total_bcm_13yr,fac_total,fac_phc,pop_total,pop_under5,phc_per_1k_u5,no2_umol_m2_for_score,score_child,score_no2,score_flare,score_coverage_gap,score,rank
Warri South,Ekurede,28.98966954489879,12,211.14157629013062,26.290833333333335,0,0.0,12,11,78506,12247,0.9,28.98966954489879,1.0,0.9037447026665658,0.0,0.8984771573604061,0.801,1
Warri South,Ubeji,23.426907318935264,36,212.43950471423923,26.290833333333335,0,0.0,6,6,66118,10314,0.58,23.426907318935264,0.8421654282681473,0.5053937151146092,0.0,0.9345741680767061,0.655,2
Warri South,Okere,,0,211.06629848480225,26.290833333333335,0,0.0,13,10,59337,9257,1.08,25.363124711112782,0.7558585776108435,0.6440467940992305,0.0,0.8781725888324873,0.645,3
Warri South,Pessu,30.333824194409925,12,212.55875078837076,26.290833333333335,0,0.0,4,4,31169,4862,0.82,30.333824194409925,0.39699518249367194,1.0,0.0,0.9075014100394811,0.616,4
Warri South,Igbudu,,0,206.59737820095486,26.290833333333335,0,0.0,14,14,49836,7774,1.8,25.363124711112782,0.634767698211807,0.6440467940992305,0.0,0.7969543147208122,0.582,5
Warri South-West,Ugborodo,20.794467369948205,24,130.51480662027993,27.228333333333335,20,1.054009574,1,1,12699,1981,0.5,20.794467369948205,0.16175389891401976,0.3168839405181255,0.9243071315051182,0.9435984207557812,0.51,6
Warri South-West,Ogbe-Ijoh,19.77577539946651,384,224.8495602077908,26.290833333333335,26,1.140323966,6,4,16088,2510,1.59,19.77577539946651,0.20494815056748591,0.24393511833791026,1.0,0.8206429780033841,0.488,7
Bomadi,Bomadi,20.55971921303505,12,229.67878087361655,26.4825,0,0.0,4,3,37392,5833,0.51,20.55971921303505,0.4762799052829264,0.300073558133651,0.0,0.9424703891708968,0.477,8
Warri South,Avenue,,0,211.06629848480225,26.290833333333335,0,0.0,7,7,23961,3738,1.87,25.363124711112782,0.3052176043112599,0.6440467940992305,0.0,0.7890580936266216,0.465,9
Warri South,Bowen,,0,212.55875078837076,26.290833333333335,0,0.0,5,4,0,0,0.0,25.363124711112782,0.0,0.6440467940992305,0.0,1.0,0.411,10
Patani,Patani 2,,0,208.09761397043863,26.364166666666666,0,0.0,0,0,13233,2064,0.0,21.88058709483206,0.16853106883318364,0.39466128339784967,0.0,1.0,0.408,11
Patani,Patani 5,22.23451732182487,24,213.3276868547712,26.364166666666666,0,0.0,1,1,14362,2240,0.45,22.23451732182487,0.18290193516779618,0.4200063277696958,0.0,0.949238578680203,0.406,12
Burutu,Ogulagha,16.604720763603435,324,131.49253641764324,26.290833333333335,38,0.241696686,7,5,31889,4975,1.01,16.604720763603435,0.4062219319016902,0.01685499259004597,0.21195440349098127,0.8860688099266779,0.4,13
Warri South-West,Okerenkoko,18.8336666991852,408,157.28722847832574,26.290833333333335,26,0.899942809,3,2,6984,1090,1.83,18.8336666991852,0.08900138809504368,0.17647044595146,0.7891992414724011,0.7935702199661591,0.392,14
Warri South,Ode-Itsekiri,24.06354774898824,72,225.49833354243526,26.290833333333335,0,0.0,2,1,5002,780,1.28,24.06354774898824,0.06368906671021475,0.5509837176574874,0.0,0.8556119571347998,0.374,15
Patani,Agoloma,22.3490950853981,12,219.74842410617404,26.364166666666666,0,0.0,1,1,8591,1340,0.75,22.3490950853981,0.1094145505021638,0.42821127405660725,0.0,0.9153976311336718,0.374,16
Patani,Uduophori,21.261279850174713,24,221.84743830362956,26.364166666666666,0,0.0,1,1,11089,1730,0.58,21.261279850174713,0.14125908385727118,0.3503125151985036,0.0,0.9345741680767061,0.371,17
Burutu,Kiagbodo,20.41720775499319,12,211.39595074123807,26.290833333333335,0,0.0,3,2,15754,2458,0.81,20.41720775499319,0.20070221278680495,0.2898682720289387,0.0,0.9086294416243654,0.37,18
Bomadi,Kpakiama,20.040070568130535,36,220.04408582051596,26.4825,0,0.0,4,3,18353,2863,1.05,20.040070568130535,0.2337715358863395,0.2628613706503195,0.0,0.8815566835871405,0.368,19
Patani,Odorubu,21.509618090931326,60,220.2546765009562,26.364166666666666,0,0.0,5,5,16785,2618,1.91,21.509618090931326,0.2137666367273618,0.36809608735813826,0.0,0.784545967287084,0.363,20
Patani,Patani 4,,0,210.18884658813477,26.364166666666666,0,0.0,3,3,11652,1818,1.65,21.88058709483206,0.14844451702457745,0.39466128339784967,0.0,0.8138747884940778,0.354,21
Patani,Patani 3,,0,208.78621080186633,26.364166666666666,0,0.0,3,2,8884,1386,1.44,21.88058709483206,0.1131705723850739,0.39466128339784967,0.0,0.8375634517766497,0.348,22
Warri South,Esisi,,0,205.47395054499307,26.290833333333335,0,0.0,11,11,14375,2242,4.91,25.363124711112782,0.18306524046705316,0.6440467940992305,0.0,0.44613649182177095,0.337,23
Patani,Buluangiama,22.125012037577108,60,218.24104436238608,26.364166666666666,0,0.0,2,2,6626,1034,1.93,22.125012037577108,0.08442883971584877,0.4121646231721748,0.0,0.7822899041173152,0.328,24
Patani,Abari,21.679718580950674,24,205.54481150309243,26.655,0,0.0,1,1,4520,705,1.42,21.679718580950674,0.057565117988078715,0.38027703190148376,0.0,0.8398195149464185,0.325,25
Patani,Toruangiama,22.004868696967606,12,224.60695605807834,26.364166666666666,0,0.0,1,1,3954,617,1.62,22.004868696967606,0.05037968482077244,0.4035611243283434,0.0,0.817258883248731,0.323,26
