lganame,wardname,ym,year,month,no2_mol_m2,no2_umol_m2,no2_valid_pixels,rainfall_mm,rainfall_valid_pixels,t2m_mean,t2m_max,t2m_min,ts_mean,temp_n_days,flare_n_sites,flare_total_bcm_13yr,flare_max_site_bcm,flare_last_year_bcm,flare_operators,fac_total,fac_phc,fac_secondary,fac_tertiary,fac_public,fac_private,pop_total,pop_under5,fac_per_1k_pop,phc_per_1k_u5,rainfall_mm_lag1m,rainfall_mm_lag2m,rainfall_mm_lag3m,t2m_mean_lag1m,t2m_mean_lag2m,t2m_mean_lag3m,ndvi_annual,ndvi_monthly,ndvi,ndvi_source,t,no2_umol_m2_lag1,no2_umol_m2_lag2,no2_umol_m2_lag3,rainfall_mm_lag1,rainfall_mm_lag2,rainfall_mm_lag3,t2m_mean_lag1,t2m_mean_lag2,t2m_mean_lag3,ndvi_lag1,ndvi_lag2,ndvi_lag3,month_sin,month_cos,no2_umol_m2_t1,rainfall_mm_t1,t2m_mean_t1
Bomadi,Akugbene 1,2025-05,2025,5,1.7197529814438894e-05,17.197529814438894,2,212.60772705078125,2,26.71,31.96,24.0,26.78,31,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,0.54,0.0,,,,,,,,,,annual,24305,,,,,,,,,,,,,0.49999999999999994,-0.8660254037844387,4.649598395189969,337.35748291015625,26.05
Bomadi,Akugbene 1,2025-06,2025,6,4.649598395189969e-06,4.649598395189969,2,337.35748291015625,2,26.05,30.65,23.16,26.12,30,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,0.54,0.0,212.60772705078125,,,26.71,,,,,,annual,24306,17.197529814438894,,,212.60772705078125,,,26.71,,,,,,1.2246467991473532e-16,-1.0,9.932180546456948,267.2798156738281,24.93
Bomadi,Akugbene 1,2025-07,2025,7,9.932180546456948e-06,9.932180546456948,2,267.2798156738281,2,24.93,29.47,22.12,25.02,31,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,0.54,0.0,337.35748291015625,212.60772705078125,,26.05,26.71,,,,,annual,24307,4.649598395189969,17.197529814438894,,337.35748291015625,212.60772705078125,,26.05,26.71,,,,,-0.4999999999999997,-0.8660254037844388,12.86394035560079,188.51022338867188,24.67
Bomadi,Akugbene 1,2025-08,2025,8,1.286394035560079e-05,12.86394035560079,2,188.51022338867188,2,24.67,29.85,21.72,24.79,31,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,0.54,0.0,267.2798156738281,337.35748291015625,212.60772705078125,24.93,26.05,26.71,,,,annual,24308,9.932180546456948,4.649598395189969,17.197529814438894,267.2798156738281,337.35748291015625,212.60772705078125,24.93,26.05,26.71,,,,-0.8660254037844384,-0.5000000000000004,18.21745536290109,384.01556396484375,25.19
Bomadi,Akugbene 1,2025-09,2025,9,1.821745536290109e-05,18.21745536290109,2,384.01556396484375,2,25.19,30.78,22.28,25.29,30,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,0.54,0.0,188.51022338867188,267.2798156738281,337.35748291015625,24.67,24.93,26.05,,,,annual,24309,12.86394035560079,9.932180546456948,4.649598395189969,188.51022338867188,267.2798156738281,337.35748291015625,24.67,24.93,26.05,,,,-1.0,-1.8369701987210297e-16,13.041001693636645,360.6279296875,25.66
Bomadi,Akugbene 1,2025-10,2025,10,1.3041001693636645e-05,13.041001693636645,2,360.6279296875,2,25.66,31.23,22.4,25.72,31,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,0.54,0.0,384.01556396484375,188.51022338867188,267.2798156738281,25.19,24.67,24.93,,,,annual,24310,18.21745536290109,12.86394035560079,9.932180546456948,384.01556396484375,188.51022338867188,267.2798156738281,25.19,24.67,24.93,,,,-0.8660254037844386,0.5000000000000001,15.484893083339555,225.17495727539065,26.76
Bomadi,Akugbene 1,2025-11,2025,11,1.5484893083339557e-05,15.484893083339555,2,225.17495727539065,2,26.76,32.28,23.2,26.85,30,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,0.54,0.0,360.6279296875,384.01556396484375,188.51022338867188,25.66,25.19,24.67,,,,annual,24311,13.041001693636645,18.21745536290109,12.86394035560079,360.6279296875,384.01556396484375,188.51022338867188,25.66,25.19,24.67,,,,-0.5000000000000004,0.8660254037844384,31.059673347044736,135.35614013671875,26.67
Bomadi,Akugbene 1,2025-12,2025,12,3.1059673347044736e-05,31.059673347044736,2,135.35614013671875,2,26.67,32.28,23.6,26.75,31,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,0.54,0.0,225.17495727539065,360.6279296875,384.01556396484375,26.76,25.66,25.19,,,,annual,24312,15.484893083339555,13.041001693636645,18.21745536290109,225.17495727539065,360.6279296875,384.01556396484375,26.76,25.66,25.19,,,,-2.4492935982947064e-16,1.0,30.14012509083841,33.17503356933594,26.93
Bomadi,Akugbene 1,2026-01,2026,1,3.014012509083841e-05,30.14012509083841,2,33.17503356933594,2,26.93,32.79,22.84,26.96,31,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,0.54,0.0,135.35614013671875,225.17495727539065,360.6279296875,26.67,26.76,25.66,,,,annual,24313,31.059673347044736,15.484893083339555,13.041001693636645,135.35614013671875,225.17495727539065,360.6279296875,26.67,26.76,25.66,,,,0.49999999999999994,0.8660254037844387,24.209668481489643,144.23281860351562,27.03
Bomadi,Akugbene 1,2026-02,2026,2,2.4209668481489643e-05,24.209668481489643,2,144.23281860351562,2,27.03,34.25,23.16,27.04,28,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,0.54,0.0,33.17503356933594,135.35614013671875,225.17495727539065,26.93,26.67,26.76,,,,annual,24314,30.14012509083841,31.059673347044736,15.484893083339555,33.17503356933594,135.35614013671875,225.17495727539065,26.93,26.67,26.76,,,,0.8660254037844386,0.5000000000000001,29.72421862068586,139.9362335205078,27.49
