lganame,wardname,pop_under5,fac_phc,fac_total,flare_total_bcm_13yr,no2_umol_m2_forecast,no2_umol_m2_climatology,rainfall_mm_forecast,rainfall_mm_climatology,t2m_mean_forecast,t2m_mean_climatology,tier
Bomadi,Akugbene 1,288,0,1,0.0,18.87,17.197529814438894,150.12,212.60772705078125,26.29,26.71,watch
Bomadi,Akugbene 2,0,0,0,0.0,9.91,,144.96,214.9990081787109,26.54,27.07,watch
Bomadi,Akugbene 3,551,1,1,0.0,12.57,,143.95,214.9990081787109,26.56,27.07,watch
Bomadi,Bomadi,5833,3,4,0.0,15.06,14.2733342727297,157.04,217.0549112955729,26.6,27.07,watch
Bomadi,Ekaametagbene/Kalafio,515,3,3,0.0,17.51,16.00311807123944,161.65,215.41349283854169,26.55,27.07,watch
Bomadi,Esanma,785,1,1,0.0,16.4,17.91542672435753,152.16,212.93453979492188,26.57,27.07,watch
Bomadi,Kpakiama,2863,3,4,0.0,15.42,13.43456582011034,161.82,216.43438720703125,26.58,27.07,watch
Bomadi,Ogbeinma/Okoloba,574,3,3,0.0,19.04,11.69636470876867,153.39,213.59562174479169,26.29,26.71,possible
Bomadi,Ogo/Eze,557,2,2,0.0,20.55,19.21843795571476,148.11,210.5385131835937,26.26,26.71,possible
Bomadi,Ogriagbene,488,1,2,0.0,19.3,17.13251185719855,161.42,215.7428181966146,26.57,27.07,watch
Burutu,Bolou-Ndoro,1340,2,2,0.0,17.39,15.776706277392805,180.34,219.7544157608696,26.5,27.07,watch
Burutu,Egodor,1760,5,5,0.0,22.14,13.852600074772322,158.8,216.0395220588236,26.22,26.71,possible
Burutu,Eseinbiri,2600,4,4,0.0,14.97,15.767549484735357,157.29,215.3610174005682,26.57,27.07,watch
Burutu,Kiagbodo,2458,2,3,0.0,19.81,15.152108971960844,136.79,217.3182576497396,26.33,26.71,possible
Burutu,Ngbilebiri,482,2,2,0.0,19.76,14.361988481444618,159.89,216.5750935872396,26.3,26.71,possible
Burutu,Obetebe,1382,4,5,0.0,18.48,12.741446530876251,161.9,207.44204606681035,26.3,26.71,possible
Burutu,Ogulagha,4975,5,7,0.241696686,14.89,17.090401983026556,112.29,130.71255859375,26.35,26.71,watch
Burutu,Ojobo,1732,1,2,0.0,17.96,14.57688631489873,183.91,210.6258341471354,26.57,27.07,possible
Burutu,Tamigbe,1507,1,1,0.0,17.96,16.062920622061938,158.75,215.9195556640625,26.55,27.07,watch
Burutu,Torugbene,721,3,3,0.0,18.65,12.59676537301857,167.23,214.7156168619792,26.56,27.07,possible
