lganame,wardname,pop_under5,fac_phc,fac_total,flare_total_bcm_13yr,no2_umol_m2_forecast,no2_umol_m2_climatology,rainfall_mm_forecast,rainfall_mm_climatology,t2m_mean_forecast,t2m_mean_climatology,tier
Bomadi,Akugbene 1,288,0,1,0.0,13.1,14.22800932004975,346.29,269.77237215909093,26.13,26.698333333333334,watch
Bomadi,Akugbene 2,0,0,0,0.0,12.67,14.24994141859973,298.93,269.0303955078125,26.26,27.115,watch
Bomadi,Akugbene 3,551,1,1,0.0,12.29,14.16489085061455,286.72,269.0303955078125,26.26,27.115,watch
Bomadi,Bomadi,5833,3,4,0.0,12.28,14.943668724126406,307.13,282.92364686908144,26.26,27.115,watch
Bomadi,Ekaametagbene/Kalafio,515,3,3,0.0,11.61,12.047583004459739,315.51,287.9423328746449,26.28,27.115,watch
Bomadi,Esanma,785,1,1,0.0,13.04,13.622406543488198,289.65,272.5198183926669,26.28,27.115,watch
Bomadi,Kpakiama,2863,3,4,0.0,12.98,14.847652184673482,320.97,279.0973658706203,26.29,27.115,watch
Bomadi,Ogbeinma/Okoloba,574,3,3,0.0,13.22,14.011384142317443,344.3,270.2027624881629,26.13,26.698333333333334,watch
Bomadi,Ogo/Eze,557,2,2,0.0,13.48,13.254597628734441,333.39,264.34902399236506,26.12,26.698333333333334,watch
Bomadi,Ogriagbene,488,1,2,0.0,11.79,13.001150780058067,281.21,290.67593291311556,26.28,27.115,watch
Burutu,Bolou-Ndoro,1340,2,2,0.0,11.72,11.83367804719173,274.87,294.42934589612156,26.28,27.115,watch
Burutu,Egodor,1760,5,5,0.0,14.63,15.347864274669604,356.84,273.6326036096257,26.14,26.698333333333334,watch
Burutu,Eseinbiri,2600,4,4,0.0,12.31,13.924263449942893,324.05,281.82262880940084,26.28,27.115,watch
Burutu,Kiagbodo,2458,2,3,0.0,14.26,14.084701979300009,367.59,264.7865341648911,26.13,26.698333333333334,watch
Burutu,Ngbilebiri,482,2,2,0.0,12.78,12.615238639617539,354.18,272.1666518702651,26.14,26.698333333333334,watch
Burutu,Obetebe,1382,4,5,0.0,12.76,13.655860342883638,349.19,270.9802544572884,26.13,26.698333333333334,watch
Burutu,Ogulagha,4975,5,7,0.241696686,13.05,16.105378480543468,190.38,162.08733220880683,26.29,26.698333333333334,watch
Burutu,Ojobo,1732,1,2,0.0,11.95,11.542389360589109,267.35,276.5945915453362,26.27,27.115,watch
